Time [s],Value,ASCII
0.921410760000000,orphanedData Channel: -2 [B],3
0.921731100000000,orphanedData Channel: -2 [B],5
0.922051460000000,orphanedData Channel: -2 [B],b
0.922371800000000,orphanedData Channel: -2 [B],c
0.922692140000000,orphanedData Channel: -2 [B],c
0.923012480000000,orphanedData Channel: -2 [B],7
0.923332820000000,orphanedData Channel: -2 [B],8
0.923653180000000,orphanedData Channel: -2 [B],1
0.923973520000000,orphanedData Channel: -2 [B],2
0.924293860000000,orphanedData Channel: -2 [B],9
0.924614200000000,orphanedData Channel: -2 [B],a
0.924934540000000,orphanedData Channel: -2 [B],a
0.925254900000000,orphanedData Channel: -2 [B],3
0.925575240000000,orphanedData Channel: -2 [B],e
0.925895580000000,orphanedData Channel: -2 [B],d
0.926215920000000,orphanedData Channel: -2 [B],c
0.926536280000000,orphanedData Channel: -2 [B],3
0.926856620000000,orphanedData Channel: -2 [B],6
0.927176960000000,orphanedData Channel: -2 [B],3
0.927497300000000,orphanedData Channel: -2 [B],f
0.927817640000000,orphanedData Channel: -2 [B],8
0.928138000000000,orphanedData Channel: -2 [B],0
0.928458340000000,orphanedData Channel: -2 [B],2
0.928778680000000,orphanedData Channel: -2 [B],a
0.929099020000000,orphanedData Channel: -2 [B],e
0.929419380000000,orphanedData Channel: -2 [B],5
0.929739720000000,orphanedData Channel: -2 [B],a
0.930060060000000,orphanedData Channel: -2 [B],b
0.930380400000000,orphanedData Channel: -2 [B],d
0.930700760000000,orphanedData Channel: -2 [B],d
0.931021100000000,orphanedData Channel: -2 [B],1
0.931341440000000,orphanedData Channel: -2 [B],6
0.931661780000000,orphanedData Channel: -2 [B],1
0.931982120000000,orphanedData Channel: -2 [B],c
0.932302480000000,orphanedData Channel: -2 [B],4
0.932622820000000,orphanedData Channel: -2 [B],f
0.932943160000000,orphanedData Channel: -2 [B],4
0.933263500000000,orphanedData Channel: -2 [B],2
0.933583860000000,orphanedData Channel: -2 [B],1
0.933904200000000,orphanedData Channel: -2 [B],c
0.934224540000000,orphanedData Channel: -2 [B],a
0.934544880000000,orphanedData Channel: -2 [B],4
0.934865220000000,orphanedData Channel: -2 [B],9
0.935185580000000,orphanedData Channel: -2 [B],a
0.935505920000000,orphanedData Channel: -2 [B],7
0.935826260000000,orphanedData Channel: -2 [B],\r
0.936146600000000,orphanedData Channel: -2 [B],\n
0.936466960000000,orphanedData Channel: -2 [B],[
0.936787300000000,orphanedData Channel: -2 [B],M
0.937107640000000,orphanedData Channel: -2 [B],S
0.937427980000000,orphanedData Channel: -2 [B],G
0.937748320000000,orphanedData Channel: -2 [B],]
0.938068680000000,orphanedData Channel: -2 [B], 
0.938389020000000,orphanedData Channel: -2 [B],A
0.938709360000000,orphanedData Channel: -2 [B],c
0.939029700000000,orphanedData Channel: -2 [B],t
0.939350060000000,orphanedData Channel: -2 [B],i
0.939670400000000,orphanedData Channel: -2 [B],v
0.939990740000000,orphanedData Channel: -2 [B],i
0.940311080000000,orphanedData Channel: -2 [B],t
0.940631440000000,orphanedData Channel: -2 [B],y
0.940951780000000,orphanedData Channel: -2 [B], 
0.941272120000000,orphanedData Channel: -2 [B],f
0.941592460000000,orphanedData Channel: -2 [B],r
0.941912800000000,orphanedData Channel: -2 [B],o
0.942233160000000,orphanedData Channel: -2 [B],m
0.942553500000000,orphanedData Channel: -2 [B],:
0.942873840000000,orphanedData Channel: -2 [B], 
0.943194180000000,orphanedData Channel: -2 [B],6
0.943514540000000,orphanedData Channel: -2 [B],5
0.943834880000000,orphanedData Channel: -2 [B],e
0.944155220000000,orphanedData Channel: -2 [B],c
0.944475560000000,orphanedData Channel: -2 [B],3
0.944795900000000,orphanedData Channel: -2 [B],1
0.945116260000000,orphanedData Channel: -2 [B],2
0.945436600000000,orphanedData Channel: -2 [B],3
0.945756940000000,orphanedData Channel: -2 [B],2
0.946077280000000,orphanedData Channel: -2 [B],5
0.946397640000000,orphanedData Channel: -2 [B],f
0.946717980000000,orphanedData Channel: -2 [B],4
0.947038320000000,orphanedData Channel: -2 [B],3
0.947358660000000,orphanedData Channel: -2 [B],f
0.947679000000000,orphanedData Channel: -2 [B],4
0.947999360000000,orphanedData Channel: -2 [B],0
0.948319700000000,orphanedData Channel: -2 [B],1
0.948640040000000,orphanedData Channel: -2 [B],0
0.948960380000000,orphanedData Channel: -2 [B],7
0.949280740000000,orphanedData Channel: -2 [B],d
0.949601080000000,orphanedData Channel: -2 [B],f
0.949921420000000,orphanedData Channel: -2 [B],c
0.950241760000000,orphanedData Channel: -2 [B],b
0.950562100000000,orphanedData Channel: -2 [B],a
0.950882460000000,orphanedData Channel: -2 [B],6
0.951202800000000,orphanedData Channel: -2 [B],5
0.951523140000000,orphanedData Channel: -2 [B],1
0.951843480000000,orphanedData Channel: -2 [B],c
0.952163840000000,orphanedData Channel: -2 [B],a
0.952484180000000,orphanedData Channel: -2 [B],b
0.952804520000000,orphanedData Channel: -2 [B],2
